TableID,TableName,Name,DataType,Size,Nullable,Description,IsInCSV,Scrambled
5002000,Conference,ConferenceID,integer,32,False,The ID of the team's conference,True,False
5002000,Conference,Name,string,50,False,The name of the team's conference,True,False
5002000,Conference,Teams,Team[],,True,The teams that play within this conference,True,False
5002000,Conference,ConferenceName,string,50,True,The name of the team's parent conference (e.g. SEC; Big Ten; etc),True,False
5002000,Conference,DivisionName,string,50,True,The name of the team's division (e.g. East; West; Atlantic; etc),True,False
5003000,Team,TeamID,integer,32,False,The auto-generated unique ID of the Team,True,False
5003000,Team,[Key],string,10,False,A unique abbreviation of the team (e.g. OU; TTU; USC; UK; etc.) Due to being selected for uniqueness; these are not always a match with broadcaster abbreviations. For that use case; use ShortDisplayName.,True,False
5003000,Team,Active,boolean,,False,Whether or not this team is active,True,False
5003000,Team,School,string,50,True,The name of the school as used in college sports (e.g. SMU; South Florida; Stony Brook; UCLA; etc.),True,False
5003000,Team,Name,string,50,True,The mascot of the team (e.g. Sooners; Red Raiders; Trojans; Wildcats; etc.),True,False
5003000,Team,StadiumID,integer,32,False,The unique ID of the stadium,True,False
5003000,Team,ApRank,integer,32,True,The AP Rank of the team ,True,False
5003000,Team,Wins,integer,32,True,The total number of wins by the school,True,False
5003000,Team,Losses,integer,32,True,The total number of losses by the school,True,False
5003000,Team,ConferenceWins,integer,32,True,The total number of conference wins by the school,True,False
5003000,Team,ConferenceLosses,integer,32,True,The total number of conference losses by the school,True,False
5003000,Team,GlobalTeamID,integer,32,False,A globally unique ID for this team. This value is guaranteed to be unique across all sports/leagues.,False,False
5003000,Team,CoachesRank,integer,32,True,The Coaches Rank of the team ,True,False
5003000,Team,PlayoffRank,integer,32,True,The Playoff Rank of the team ,True,False
5003000,Team,TeamLogoUrl,string,100,True,The url of the team logo image.,True,False
5003000,Team,ConferenceID,integer,32,True,The ID of the team's conference,True,False
5003000,Team,Conference,string,50,True,The name of the team's conference,True,False
5003000,Team,ShortDisplayName,string,10,True,The short display name of the team,True,False
5003000,Team,RankWeek,integer,32,True,The week that the ApRank/CoachesRank was last updated,True,False
5003000,Team,RankSeason,integer,32,True,The season that the ApRank/CoachesRank was last updated,True,False
5003000,Team,RankSeasonType,integer,32,True,The season type that the ApRank/CoachesRank was last updated,True,False
5044000,TeamBasic,TeamID,integer,32,False,The auto-generated unique ID of the Team,True,False
5044000,TeamBasic,Key,string,10,False,A unique abbreviation of the team (e.g. OU; TTU; USC; UK; etc.) These are not recommended for front end use as they may not match common usage; see the ShortDisplayName instead.,True,False
5044000,TeamBasic,Active,boolean,,False,Whether or not this team is active,True,False
5044000,TeamBasic,School,string,50,True,The school of the team (e.g. Oklahoma University; Texas Tech University; University of Southern California;  University of Kentucky; etc),True,False
5044000,TeamBasic,Name,string,50,True,The mascot of the team (e.g. Sooners; Red Raiders; Trojans; Wildcats; etc.),True,False
5044000,TeamBasic,StadiumID,integer,32,False,The unique ID of the stadium,True,False
5044000,TeamBasic,GlobalTeamID,integer,32,False,A globally unique ID for this team. This value is guaranteed to be unique across all sports/leagues.,False,False
5044000,TeamBasic,TeamLogoUrl,string,100,True,The url of the team logo image.,True,False
5044000,TeamBasic,ConferenceID,integer,32,True,The ID of the team's conference,True,False
5044000,TeamBasic,Conference,string,50,True,The name of the team's conference,True,False
5044000,TeamBasic,ShortDisplayName,string,10,True,The short display name of the team; recommended for front end applications. May not be unique; if you need a 100% unique letter identifier see the Key field in this table.,True,False
5004000,Stadium,StadiumID,integer,32,False,The unique ID of the stadium,True,False
5004000,Stadium,Active,boolean,,False,Whether or not this stadium is the home venue for an active team,True,False
5004000,Stadium,Name,string,50,False,The full name of the stadium,True,False
5004000,Stadium,Dome,boolean,,False,Indicates whether this stadium is a dome,True,False
5004000,Stadium,City,string,50,True,The city where the stadium is located,True,False
5004000,Stadium,State,string,10,True,The US state where the stadium is located (if Stadium is outside US; this value is NULL),True,False
5004000,Stadium,GeoLat,decimal,32,True,The geographic latitude coordinate of this venue.,True,False
5004000,Stadium,GeoLong,decimal,32,True,The geographic longitude coordinate of this venue.,True,False
5006000,Game,GameID,integer,32,False,The unique ID of this game,True,False
5006000,Game,Season,integer,32,False,The College Football season of the game,True,False
5006000,Game,SeasonType,integer,32,False,The type of season that this record corresponds to (1=Regular Season; 2=Preseason; 3=Postseason; 4=Offseason; 5=AllStar).,True,False
5006000,Game,Week,integer,32,True,The CFB week of the game (e.g. 1; 2; 3; etc.),True,False
5006000,Game,Status,string,20,True,Indicates the game's status. Possible values include: Scheduled; InProgress; Final; F/OT; Suspended; Postponed; Delayed; Canceled; Forfeit,True,False
5006000,Game,Day,date,,True,The date of the game,True,False
5006000,Game,DateTime,datetime,,True,The date and time of the game,True,False
5006000,Game,AwayTeam,string,10,False,The abbreviation of the Away Team,True,False
5006000,Game,HomeTeam,string,10,False,The abbreviation of the Home Team,True,False
